theme,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa
Type of offensiveness,202,205,191,14,11,34,0.9317073170731708,0.9455445544554455,0.9385749385749387,0.9,0.6698362387744321
Patterns of behavior,72,85,66,19,6,159,0.7764705882352941,0.9166666666666666,0.8407643312101911,0.9,0.7686042206590152
Justifications,15,19,12,7,3,228,0.631578947368421,0.8,0.7058823529411765,0.96,0.6847414880201762
Decision outcomes,15,12,9,3,6,232,0.75,0.6,0.6666666666666665,0.964,0.647887323943662
Positive content,13,18,10,8,3,229,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.956,0.6223564954682778
Reflection on the decision,8,12,7,5,1,237,0.5833333333333334,0.875,0.7000000000000001,0.976,0.68801996672213
