min_confidence,n_units,n_codes_evaluated,gold_labels,pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_present_codes,macro_kappa_present_codes,weighted_f1,exact_set_match,mean_jaccard,hamming_loss,at_least_one_correct
0.0,100,38,174,291,0.4536082474226804,0.7586206896551724,0.567741935483871,0.5633329702681273,0.5363588047336649,0.6918614704890894,0.14,0.44765476190476183,0.052894736842105265,0.88
0.5,100,38,174,290,0.45517241379310347,0.7586206896551724,0.5689655172413793,0.5650336505402362,0.5381574694050129,0.692408815864021,0.14,0.44865476190476195,0.05263157894736842,0.88
0.6,100,38,174,288,0.4548611111111111,0.7528735632183908,0.5670995670995671,0.5653272612505136,0.5384124268317468,0.6902718652596372,0.13,0.4390119047619047,0.05263157894736842,0.87
0.7,100,38,174,281,0.46619217081850534,0.7528735632183908,0.5758241758241758,0.569170632036393,0.5427507307371657,0.6933133831806058,0.13,0.4423452380952381,0.05078947368421052,0.87
0.8,100,38,174,246,0.516260162601626,0.7298850574712644,0.6047619047619047,0.5798954855384485,0.5553285306612591,0.6983466539033187,0.22,0.4955833333333333,0.04368421052631579,0.86
0.9,100,38,174,197,0.583756345177665,0.6609195402298851,0.6199460916442049,0.54486451436762,0.5223275156099941,0.6697624813966643,0.26,0.5004642857142857,0.03710526315789474,0.79
0.95,100,38,174,142,0.6690140845070423,0.5459770114942529,0.6012658227848101,0.48604030545024335,0.46635244256898467,0.6081134757296676,0.29,0.475,0.03315789473684211,0.7
