theme,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa
Type of offensiveness,79,82,76,6,3,15,0.926829268292683,0.9620253164556962,0.9440993788819876,0.91,0.7137404580152672
Patterns of behavior,31,44,31,13,0,56,0.7045454545454546,1.0,0.8266666666666667,0.87,0.727577535624476
Justifications,10,20,9,11,1,79,0.45,0.9,0.6,0.88,0.5384615384615383
Positive content,8,6,6,0,2,92,1.0,0.75,0.8571428571428571,0.98,0.8466257668711654
Decision outcomes,7,13,4,9,3,84,0.3076923076923077,0.5714285714285714,0.4,0.88,0.3399339933993402
Reflection on the decision,5,8,4,4,1,91,0.5,0.8,0.6153846153846154,0.95,0.5901639344262292
Uncategorised,3,9,3,6,0,91,0.3333333333333333,1.0,0.5,0.94,0.4764397905759154
