reference,kind,n_units,n_codes_evaluated,gold_labels,pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_present_codes,macro_kappa_present_codes,weighted_f1,exact_set_match,mean_jaccard,hamming_loss,at_least_one_correct
Alireza,single_coder,100,38,169,268,0.5186567164179104,0.8224852071005917,0.6361556064073227,0.6031353165980563,0.5805202815145085,0.7314288049242066,0.27,0.5558095238095238,0.041842105263157896,0.9
subham,single_coder,99,38,179,267,0.38202247191011235,0.5698324022346368,0.45739910313901344,0.42993587897455127,0.39617378671768777,0.5339232468547483,0.06060606060606061,0.32169312169312164,0.06432748538011696,0.7171717171717171
