prompt_variant,model,n_units,n_codes_evaluated,gold_labels,pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_present_codes,macro_kappa_present_codes,weighted_f1,exact_set_match,mean_jaccard,hamming_loss,at_least_one_correct
codebook_only,openai:gpt-5.1,187,45,325,574,0.44773519163763065,0.7907692307692308,0.5717463848720801,0.5187236374334236,0.4965612218580637,0.7063421502283845,0.1711229946524064,0.46576054664289956,0.0457516339869281,0.8770053475935828
few_shot,openai:gpt-5.1,187,45,325,527,0.48007590132827327,0.7784615384615384,0.5938967136150235,0.5608110867328701,0.5378614501175664,0.6996668313567987,0.20855614973262032,0.4953823953823954,0.041117052881758764,0.8716577540106952
calibrated,openai:gpt-5.1,187,45,325,329,0.6930091185410334,0.7015384615384616,0.6972477064220184,0.5709816332677555,0.5539610756956665,0.710041737008521,0.39037433155080214,0.6144257703081233,0.023529411764705882,0.8823529411764706
