theme,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa
Type of offensiveness,79,86,77,9,2,12,0.8953488372093024,0.9746835443037974,0.9333333333333332,0.89,0.6222527472527473
Patterns of behavior,31,42,30,12,1,57,0.7142857142857143,0.967741935483871,0.821917808219178,0.87,0.7231686541737649
Justifications,10,21,9,12,1,78,0.42857142857142855,0.9,0.5806451612903225,0.87,0.5149253731343282
Positive content,8,9,6,3,2,89,0.6666666666666666,0.75,0.7058823529411765,0.95,0.6786632390745497
Decision outcomes,7,12,4,8,3,85,0.3333333333333333,0.5714285714285714,0.4210526315789474,0.89,0.3648960739030029
Reflection on the decision,5,16,5,11,0,84,0.3125,1.0,0.47619047619047616,0.89,0.4329896907216497
Uncategorised,3,7,3,4,0,93,0.42857142857142855,1.0,0.6,0.96,0.582463465553236
