reference,kind,n_units,n_codes_evaluated,gold_labels,pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_present_codes,macro_kappa_present_codes,weighted_f1,exact_set_match,mean_jaccard,hamming_loss,at_least_one_correct
Alireza,single_coder,100,38,169,291,0.45017182130584193,0.7751479289940828,0.5695652173913044,0.5770249027354359,0.5511982997399462,0.7056997689021693,0.15,0.45448809523809525,0.05210526315789474,0.88
subham,single_coder,99,38,179,289,0.3460207612456747,0.5586592178770949,0.42735042735042733,0.41637105084509746,0.38213097846187805,0.5138790696301614,0.050505050505050504,0.29638047138047136,0.07123870281765018,0.7272727272727273
