theme,support_gold,support_pred,tp,fp,fn,tn,precision,recall,f1,percent_agreement,cohens_kappa
Type of offensiveness,17,23,17,6,0,2,0.7391304347826086,1.0,0.85,0.76,0.3119266055045872
Patterns of behavior,9,7,6,1,3,15,0.8571428571428571,0.6666666666666666,0.75,0.84,0.6350364963503649
Positive content,5,3,3,0,2,20,1.0,0.6,0.7499999999999999,0.92,0.7058823529411765
Justifications,5,11,4,7,1,13,0.36363636363636365,0.8,0.5000000000000001,0.68,0.31034482758620696
Reflection on the decision,4,4,3,1,1,20,0.75,0.75,0.75,0.92,0.7023809523809527
Decision outcomes,1,5,1,4,0,20,0.2,1.0,0.33333333333333337,0.84,0.2857142857142855
Uncategorised,0,0,0,0,0,25,0.0,0.0,0.0,1.0,1.0
